積極的で，社交的である
思いやりがあり，優しい
行き当たりばったりな方だ
リラックスしていて，ストレスにうまく対処している
芸術的関心があまりない
積極的な性格だ
礼儀正しく，他人に敬意をもって接する
だらだらと過ごすほうだ
失敗を経験しても楽天的なままでいる
色々な物事に対する好奇心が強い
めったに興奮したり，熱狂したりしない
他人の欠点を見つけ出す方だ
しっかりしていて，真面目だ
不機嫌になりやすく，感情の起伏が激しい
創意工夫が得意で，うまい方法を思いつくことができる
無口な方だ
他人のことを思って心が痛むことはほとんどない
几帳面で，規則正しく整えることが好きだ
神経が張り詰めることがある
芸術，音楽，文学に魅了されている
上に立つ方で，リーダーとして活動する
他人と言い争い始める
なかなか作業に取りかかることができない
安心感を抱いており，心地よい
知的で哲学的な考察を避けるようにしている
他の人と比べて活発ではない
他人を多めに見る寛大な人間だ
少し不注意なところがある
情緒が安定しており，簡単には取り乱さない
創造性がほとんどない
内気なところがあり，内向的である
進んで手伝おうとし，他人の利益を優先する
物事をきれいに揃えたりまとめたりする
多くの悩みごとを抱えている
芸術と美を重視する
人々の行動を左右するような影響力をもつことは難しいと感じる
他人を見下すことがある
手際よく行動し，物事を最後までやり遂げる
よく悲しい気分になる
考え方が複雑で，深く考える人間だ
活力にあふれている
他人が考えていることを怪しんで不信感を抱く
ちゃんとしていて，いつも周りから当てにされる
自分の感情をコントロールしている
ものごとを自由に心に思い描くのは難しい
おしゃべりな方だ
冷淡で思いやりに欠けることがある
乱雑なものはそのままにして，きれいにしない
不安や恐れを感じることはめったにない
詩や演劇をつまらないと思う
他の人にリーダーシップを発揮してもらうほうが良いと思う
他人に丁寧で，礼儀正しい
根気強く，与えられた課題が終わるまで取り組む
憂うつになり，落胆する方だ
抽象的な知識にはほとんど関心がない
情熱を大いに表に出す
人々のいちばん良いところを思い浮かべる
無責任な行動をしてしまうことがある
神経質で，感情的になりやすい
積極的で，新しいアイディアを思いつく
